Code;Libellé;Libellé ticket de caisse;Famille;Marque;Prix d'achat HT;Prix de vente HT;Tva;Prix de vente TTC;Quantité;Poids (Kg);Unité;Désignation;Observations;Quantité d'Alerte
ART1524;REDBULL CACTUS 24X0.25l;;BOISSON;;0;32.0000;6.0000;33.9200;0;;;REDBULL CACTUS 24X0.25l;;
ART1525;OLIVE COUPEE 7K;;SNACK;;0;27.0000;6.0000;28.6200;0;;;OLIVE COUPEE 7K;;
ART1526;OLIVE BARBECUE 7K;;SNACK;;0;24.0000;6.0000;25.4400;0;;;OLIVE BARBECUE 7K;;
ART1527;SAUCE TOMATE TRIA 6X3K;;SNACK;;0;30.0000;6.0000;31.8000;0;;;SAUCE TOMATE TRIA 6X3K;;
ART1528;BETTRAVE 3X4K;;SNACK;;0;25.5000;6.0000;27.0300;0;;;BETTRAVE 3X4K;;
ART1529;FARINE 25K;;SNACK;;0;20.0000;6.0000;21.2000;0;;;FARINE 25K;;
ART1530;CHEPELURE PAPRIKA 10K;;SNACK;;0;50.0000;6.0000;53.0000;0;;;CHEPELURE PAPRIKA 10K;;
ART1531;POULET MIX 12K;;SNACK;;0;76.0000;6.0000;80.5600;0;;;POULET MIX 12K;;
ART1532;7UP 24X0.33L;;BOISSON;;0;12.0000;6.0000;12.7200;0;;;7UP 24X0.33L;;
ART1533;FANTA EXOTIC  24x.33L;;BOISSON;;0;14.5000;6.0000;15.3700;0;;;FANTA EXOTIC  24x.33L;;
ART1534;FANTA LEMON  24x0.33L;;BOISSON;;0;14.5000;6.0000;15.3700;0;;;FANTA LEMON  24x0.33L;;
ART1535;RAVIER A FRITTE 955;;EMBALLAGE;;0;5.3000;21.0000;6.4130;0;;;RAVIER A FRITTE 955;;
