Code;Libellé;Libellé ticket de caisse;Famille;Marque;Prix d'achat HT;Prix de vente HT;Tva;Prix de vente TTC;Quantité;Poids (Kg);Unité;Désignation;Observations;Quantité d'Alerte
ART0389;CHIXCORN HALAL 26X80G MEKKAFOOD;;SNACK;;18.7000;21.5000;6.0000;22.7900;0;;;CHIXCORN HALAL 26X80G MEKKAFOOD;;
ART0399;DURUM ANTALYA 30CM 6 X 18PC;;SNACK;;18.4000;21.2000;6.0000;22.4700;0;;;DURUM ANTALYA 30CM 6 X 18PC;;
ART0504;ULUDAG 24X0.33L CANETTE;;BOISSON;;16.0000;16.0000;6.0000;16.9600;0;;;ULUDAG 24X0.33L CANETTE;;
ART0505;VERSHOUDFOLIE 30CMX250M 4 ROL-LILA;;EMBALLAGE;;18.0000;20.7000;21.0000;25.0500;0;;;VERSHOUDFOLIE 30CMX250M 4 ROL-LILA;;
ART0388;CHIXCHICKENCORN 36X80GR OZFOOD HALAL;;SNACK;;17.9000;20.6000;6.0000;21.8400;0;;;CHIXCHICKENCORN 36X80GR OZFOOD HALAL;;
ART0430;ICE TEA GREEN 24X0.33L;;BOISSON;;17.0000;14.8000;6.0000;15.6880;0;;;ICE TEA GREEN 24X0.33L;;
ART0431;ICE TEA ORIGINAL 24X0.33L;;BOISSON;;17.0000;14.2500;6.0000;15.1050;0;;;ICE TEA ORIGINAL 24X0.33L;;
ART0503;TROPICO ORIGINAL ORANGE-ANANAS 24 x 0.33L;;BOISSON;;16.5000;14.0000;6.0000;14.8400;0;;;TROPICO ORIGINAL ORANGE-ANANAS 24 x 0.33L;;
ART0472;ROSTOY BOC. ANANAS 24X0.20L;;BOISSON;;16.0000;15.0000;6.0000;15.9000;0;;;ROSTOY BOC. ANANAS 24X0.20L;;
ART0475;ROSTOY MANGUE CANETTE 24X0.33L;;BOISSON;;16.0000;15.2000;6.0000;16.1120;0;;;ROSTOY MANGUE CANETTE 24X0.33L;;
ART0476;ROSTOY MULTIVITAMINE 24X0.20L;;BOISSON;;16.0000;15.0000;6.0000;15.9000;0;;;ROSTOY MULTIVITAMINE 24X0.20L;;
ART0479;ROSTOY PECHE CANETTE 24X0.33L;;BOISSON;;16.0000;15.0000;6.0000;15.9000;0;;;ROSTOY PECHE CANETTE 24X0.33L;;
ART0512;ZAKKEN OP ROL 24+12*46CM;;EMBALLAGE;;16.0000;18.4000;21.0000;22.2600;0;;;ZAKKEN OP ROL 24+12*46CM;;
ART0434;ICE TEA PEACHE 24 x 0.33L;;BOISSON;;15.5000;14.8000;6.0000;15.6880;0;;;ICE TEA PEACHE 24 x 0.33L;;
ART0449;OASIS CASSIS 24 x 0.33 L;;BOISSON;;15.5000;14.5000;6.0000;15.3700;0;;;OASIS CASSIS 24 x 0.33 L;;
ART0451;OASIS ICE TEA PECHE 24X0.33L;;BOISSON;;15.5000;14.5000;6.0000;15.3700;0;;;OASIS ICE TEA PECHE 24X0.33L;;
ART0453;OASIS TROPICAL 24 x 0.33L;;BOISSON;;15.5000;14.5000;6.0000;15.3700;0;;;OASIS TROPICAL 24 x 0.33L;;
ART0458;PAIN PANINI 40X170GR PASTRIDOR (1547);;SNACK;;15.1000;17.4000;6.0000;18.4400;0;;;PAIN PANINI 40X170GR PASTRIDOR (1547);;
